"No.","Time","Source","Destination","Protocol","Length","Info","Source Port","Destination Port"
"53","1.591607","192.168.0.192","192.168.0.228","TCP","78","60326  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3495011847 TSecr=0 SACK_PERM","60326","80"
"54","1.591607","192.168.0.192","192.168.0.228","TCP","78","60327  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3026374943 TSecr=0 SACK_PERM","60327","443"
"57","1.611999","192.168.0.192","192.168.0.228","TCP","78","60328  >  135 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3910116330 TSecr=0 SACK_PERM","60328","135"
"58","1.611999","192.168.0.192","192.168.0.228","TCP","78","60329  >  199 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=815600301 TSecr=0 SACK_PERM","60329","199"
"59","1.611999","192.168.0.192","192.168.0.228","TCP","78","60330  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2160668953 TSecr=0 SACK_PERM","60330","80"
"60","1.611999","192.168.0.192","192.168.0.228","TCP","78","60331  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3644589924 TSecr=0 SACK_PERM","60331","443"
"65","1.618145","192.168.0.192","192.168.0.228","TCP","54","60328  >  135 [ACK] Seq=1 Ack=1 Win=262144 Len=0","60328","135"
"66","1.618145","192.168.0.192","192.168.0.228","TCP","54","60328  >  135 [RST, ACK] Seq=1 Ack=1 Win=262144 Len=0","60328","135"
